code,description,last_updated
100058-7,Prulifloxacin [Susceptibility],09-06-2025
100059-5,Rifapentine [Susceptibility],09-06-2025
100060-3,Tildipirosin [Susceptibility],09-06-2025
100061-1,Tosufloxacin [Susceptibility],09-06-2025
100062-9,Standard Dermatology Outcome Measures panel,09-06-2025
100063-7,Primary skin concern,09-06-2025
100064-5,Itch severity Reporting Period - Reported,09-06-2025
10006-5,R wave duration in lead V3,09-06-2025
100065-2,Satisfied with treatment,09-06-2025
100066-0,Specular microscopy panel,09-06-2025
100067-8,Eye Image magnification,09-06-2025
100068-6,Right eye Fixation point [Angle],09-06-2025
100069-4,Left eye Fixation point [Angle],09-06-2025
100070-2,Right cornea Cell density,09-06-2025
100071-0,Left cornea Cell density,09-06-2025
100072-8,Right cornea Coefficient of variation,09-06-2025
10007-3,R wave duration in lead V4,09-06-2025
100073-6,Left cornea Coefficient of variation,09-06-2025
100074-4,Right cornea Hexagonality,09-06-2025
100075-1,Left cornea Hexagonality,09-06-2025
100076-9,Right cornea Endothelial cells counted,09-06-2025
100077-7,Left cornea Endothelial cells counted,09-06-2025
100078-5,Right cornea Endothelial cell area.min,09-06-2025
100079-3,Left cornea Endothelial cell area.min,09-06-2025
100080-1,Right cornea Endothelial cell area.max,09-06-2025
10008-1,R wave duration in lead V5,09-06-2025
100081-9,Left cornea Endothelial cell area.max,09-06-2025
100082-7,Right cornea Endothelial cell area.mean,09-06-2025
100083-5,Left cornea Endothelial cell area.mean,09-06-2025
100084-3,Right cornea Cell area.standard deviation,09-06-2025
100085-0,Left cornea Cell area.standard deviation,09-06-2025
100086-8,Right cornea Type of Analysis method by Specular microscopy,09-06-2025
100087-6,Toxocara canis 24-35kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100088-4,Taenia solium larva Ab bands panel - Serum by Immunoblot,09-06-2025
100089-2,Taenia solium larva 6-8kD Ab [Presence] in Serum by Immunoblot,09-06-2025
1000-9,DBG Ab [Presence] in Serum or Plasma from Blood product unit,09-06-2025
100090-0,Taenia solium larva 45kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100091-8,Trypanosoma cruzi Ab [Units/volume] in Serum by Immunoassay,09-06-2025
100092-6,Trypanosoma cruzi Ab bands panel - Serum by Immunoblot,09-06-2025
100093-4,Trypanosoma cruzi 15-16kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100094-2,Trypanosoma cruzi 21-22kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100095-9,Trypanosoma cruzi 27-28kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100096-7,Trypanosoma cruzi 42kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100097-5,Trypanosoma cruzi 45-47kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100098-3,Trypanosoma cruzi 120-200kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
10009-9,R wave duration in lead V6,09-06-2025
100099-1,Trypanosoma cruzi 160kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100100-7,Fasciola sp IgG Ab [Presence] in Serum by Immunoassay,09-06-2025
100101-5,Fasciola sp 8-9kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100102-3,Fasciola sp 27-28kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100103-1,Fasciola sp 60kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100104-9,Fasciola sp 42kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100105-6,Filaria IgG and IgM panel - Serum,09-06-2025
100106-4,Filaria IgG Ab [Presence] in Serum by Immunoassay,09-06-2025
10010-7,R' wave amplitude in lead AVF,09-06-2025
100107-2,Leishmania sp IgG Ab [Presence] in Serum by Immunoassay,09-06-2025
100108-0,Leishmania sp IgG Ab [Units/volume] in Serum by Immunoassay,09-06-2025
100109-8,Leishmania sp Ab bands panel - Serum by Immunoblot,09-06-2025
100110-6,Leishmania sp 14kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100111-4,Leishmania sp 16kD IgG Ab [Presence] in Serum by Immunoblot,09-06-2025
100112-2,Fasciola sp Ab bands panel - Serum by Immunoblot,09-06-2025
100113-0,Helicobacter pylori Ab panel - Serum,09-06-2025
100114-8,Toxoplasma gondii 30kD Ab [Presence] in Serum by Immunoblot,09-06-2025
10011-5,R' wave amplitude in lead AVL,09-06-2025
100115-5,Toxoplasma gondii 31kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100116-3,Toxoplasma gondii 33kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100117-1,Toxoplasma gondii 40kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100118-9,Toxoplasma gondii 41kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100119-7,Toxoplasma gondii 45kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100120-5,Chlamydia trachomatis Ab panel - Serum,09-06-2025
100121-3,Chlamydia trachomatis IgA Ab [Presence] in Serum by Immunoassay,09-06-2025
100122-1,Chlamydophila pneumoniae Ab panel - Serum,09-06-2025
10012-3,R' wave amplitude in lead AVR,09-06-2025
100123-9,Chlamydophila pneumoniae IgA Ab [Presence] in Serum by Immunoassay,09-06-2025
100124-7,Chlamydophila pneumoniae IgA Ab [Units/volume] in Serum by Immunoassay,09-06-2025
100125-4,Chlamydophila psittaci Ab panel - Serum,09-06-2025
100126-2,Bordetella pertussis Ab.IgG panel - Serum,09-06-2025
100127-0,Campylobacter sp Ab panel - Serum,09-06-2025
100128-8,Cryptococcus sp Ag panel - Serum,09-06-2025
100129-6,Schistosoma sp Ab [Titer] in Serum by Hemagglutination,09-06-2025
100130-4,Schistosoma mansoni Ab [Presence] in Serum by Immunoblot,09-06-2025
10013-1,R' wave amplitude in lead I,09-06-2025
100131-2,Schistosoma sp 8kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100132-0,Schistosoma sp 9kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100133-8,Schistosoma sp 10kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100134-6,Schistosoma sp 11kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100135-3,Schistosoma sp 12-13kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100136-1,Schistosoma sp 14-15kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100137-9,Schistosoma sp 15-16kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100138-7,Schistosoma sp 18-19kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100139-5,Schistosoma sp 22-24kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100140-3,Schistosoma sp 30-34kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100141-1,Schistosoma sp 65kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100142-9,Schistosoma sp 70kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100143-7,Schistosoma sp 80kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100144-5,Schistosoma sp 95kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100145-2,Schistosoma sp 110kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100146-0,Schistosoma sp 120kD Ab [Presence] in Serum by Immunoblot,09-06-2025
100147-8,Toxoplasma gondii Ab bands panel - Serum by Immunoblot,09-06-2025
100148-6,Schistosoma sp Ab bands panel - Serum by Immunoblot,09-06-2025
10014-9,R' wave amplitude in lead II,09-06-2025
100149-4,6-oxo-piperidine-2-carboxylate and 6(R+S)-oxo-propylpiperidine-2-carboxylate panel - Urine and Serum or Plasma,09-06-2025
100150-2,6(R+S)-oxo-propylpiperidine-2-carboxylate [Moles/volume] in Plasma,09-06-2025
100151-0,6-oxo-piperidine-2-carboxylate [Moles/volume] in Plasma,09-06-2025
100152-8,6-oxo-piperidine-2-carboxylate/Creatinine [Molar ratio] in Urine,09-06-2025
100153-6,6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine [Molar ratio] in Urine,09-06-2025
100154-4,Specimen collection supervision level,09-06-2025
100155-1,Left cornea Type of Analysis method by Specular microscopy,09-06-2025
10015-6,R' wave amplitude in lead III,09-06-2025
100156-9,SARS-CoV-2 (COVID-19) variant [Type] in Specimen by NAA with probe detection,09-06-2025
100157-7,SARS-CoV-2 (COVID-19) lineage [Type] in Specimen by Sequencing,09-06-2025
100158-5,Microalbumin [Mass/volume] in Urine collected for unspecified duration,09-06-2025
100159-3,Knee Society Score pre-op panel [Knee Society Score],09-06-2025
100160-1,Knee replacement,09-06-2025
100161-9,Charnley Functional Classification,09-06-2025
100162-7,Knee alignment W standing X-ray measured,09-06-2025
100163-5,Knee medial AndOr lateral instability W full extension,09-06-2025
10016-4,R' wave amplitude in lead V1,09-06-2025
100164-3,Knee AP instability W 90 degree flexion,09-06-2025
100165-0,Knee range of motion,09-06-2025
100166-8,Flexion contracture range of Knee,09-06-2025
100167-6,Extensor lag range of Knee,09-06-2025
100168-4,Knee pain severity with level walking,09-06-2025
100169-2,Knee pain severity with stairs or inclines,09-06-2025
1001-7,DBG Ab [Presence] in Serum or Plasma from Donor,09-06-2025
100170-0,Knee feels normal,09-06-2025
100171-8,Satisfaction with level of knee pain while sitting,09-06-2025
10017-2,R' wave amplitude in lead V2,09-06-2025
100172-6,Satisfaction with level of knee pain while lying in bed,09-06-2025
100173-4,Satisfaction with knee function while getting out of bed,09-06-2025
100174-2,Satisfaction with knee function while performing light household duties,09-06-2025
100175-9,Satisfaction with knee function while performing recreational activities,09-06-2025
100176-7,Expect surgery to relieve pain,09-06-2025
100177-5,Expect surgery will improve ability to perform activities of daily living,09-06-2025
100178-3,"Expect surgery will improve ability to perform leisure, recreational, or sports activities",09-06-2025
100179-1,Walk without assistive mobility devices,09-06-2025
10018-0,R' wave amplitude in lead V3,09-06-2025
100180-9,Assistive mobility devices used,09-06-2025
100181-7,Assistive mobility devices used due to health condition,09-06-2025
100182-5,Duration of standing before sitting due to knee discomfort,09-06-2025
100183-3,Duration of walking before stopping due to knee discomfort,09-06-2025
100184-1,How bothersome is knee when walking on an uneven surface,09-06-2025
100185-8,How bothersome is knee when turning or pivoting leg,09-06-2025
100186-6,How bothersome is knee when climbing up or down a flight of stairs,09-06-2025
100187-4,How bothersome is knee when getting up from a low seat without armrests,09-06-2025
100188-2,How bothersome is knee when getting into or out of a car,09-06-2025
100189-0,How bothersome is knee when moving laterally,09-06-2025
100190-8,How bothersome is knee when climbing a ladder or step stool,09-06-2025
100191-6,How bothersome is knee when carrying a bag for one block,09-06-2025
100192-4,How bothersome is knee when squatting,09-06-2025
100193-2,How bothersome is knee when kneeling,09-06-2025
100194-0,How bothersome is knee when running,09-06-2025
100195-7,Pain severity--during activity,09-06-2025
100196-5,Pre-op total score [Knee Society Score],09-06-2025
100197-3,Exercise activity and pain severity panel,09-06-2025
10019-8,R' wave amplitude in lead V4,09-06-2025
100198-1,Pre-op objective knee indicators score [Knee Society Score],09-06-2025
100199-9,Pre-op symptoms score [Knee Society Score],09-06-2025
100200-5,Pre-op patient expectations score [Knee Society Score],09-06-2025
100201-3,Pre-op functional activities score [Knee Society Score],09-06-2025
100202-1,Pre-op discretionary knee activities score [Knee Society Score],09-06-2025
100203-9,Knee Society Score post-op panel [Knee Society Score],09-06-2025
100204-7,Accuracy of pre-surgery expectations of pain relief,09-06-2025
100205-4,Accuracy of pre-surgery expectations to perform activities of daily living,09-06-2025
10020-6,R' wave amplitude in lead V5,09-06-2025
100206-2,"Accuracy of pre-surgery expectations to perform leisure, recreational, or sports activities",09-06-2025
100207-0,Post-op total score [Knee Society Score],09-06-2025
100208-8,Post-op objective knee indicators score [Knee Society Score],09-06-2025
100209-6,Post-op symptoms score [Knee Society Score],09-06-2025
100210-4,Post-op patient expectations score [Knee Society Score],09-06-2025
100211-2,Post-op functional activities score [Knee Society Score],09-06-2025
100212-0,Post-op discretionary knee activities score [Knee Society Score],09-06-2025
100213-8,Prostate cancer multigene analysis in Blood or Tissue by Molecular genetics method,09-06-2025
10021-4,R' wave amplitude in lead V6,09-06-2025
100214-6,Dental model prior authorization Document,09-06-2025
100215-3,Episode of care medical records Document Transplant surgery,09-06-2025
100216-1,Surgical synoptic report,09-06-2025
100217-9,Synoptic report Document Surgical oncology,09-06-2025
100218-7,Surgical oncology of colon cancer synoptic report,09-06-2025
100219-5,Surgical oncology of melanoma cancer synoptic report,09-06-2025
100220-3,Surgical oncology of breast cancer synoptic report,09-06-2025
100221-1,Surgical oncology of thyroid cancer synoptic report,09-06-2025
10022-2,R' wave duration in lead AVF,09-06-2025
100222-9,Surgical oncology of pancreas cancer synoptic report,09-06-2025
100223-7,Physical findings of Retina Narrative,09-06-2025
100224-5,Cardiac left ventricular segmental wall motion by echo panel,09-06-2025
100225-2,Bone density quantitative ultrasound study,09-06-2025
100226-0,Small bowel capsule endoscopy study Document,09-06-2025
100227-8,Colon capsule endoscopy study Document,09-06-2025
100228-6,Upper gastrointestinal capsule endoscopy study Document,09-06-2025
100229-4,Endoscopic ultrasound study Document,09-06-2025
10023-0,R' wave duration in lead AVL,09-06-2025
100230-2,Routine prenatal assessment panel,09-06-2025
100231-0,Endobronchial ultrasound study,09-06-2025
100232-8,Impacts of Events Scale-Revised panel,09-06-2025
100233-6,Reminders brought back feelings about adverse event,09-06-2025
100234-4,Trouble staying asleep,09-06-2025
100235-1,Other things triggered persistent thoughts about adverse event,09-06-2025
100236-9,Felt irritable AndOr angry,09-06-2025
100237-7,Avoided getting upset when unintentionally thought about adverse event,09-06-2025
100238-5,Thought about adverse event unintentionally,09-06-2025
100239-3,Felt as if adverse event did not happen,09-06-2025
100240-1,Avoided reminders of adverse event,09-06-2025
100241-9,Experienced mental images of adverse event,09-06-2025
100242-7,Easily startled,09-06-2025
100243-5,Tried to not think of adverse event,09-06-2025
100244-3,"Aware of feelings about adverse event, but did not address them",09-06-2025
100245-0,Feelings about adverse event were numb,09-06-2025
100246-8,Acted or felt the same as during adverse event,09-06-2025
100247-6,Trouble falling asleep,09-06-2025
10024-8,R' wave duration in lead AVR,09-06-2025
100248-4,Waves of strong feelings about adverse event,09-06-2025
100249-2,Tried to remove adverse event from memory,09-06-2025
1002-5,DBG Ab [Presence] in Serum or Plasma,09-06-2025
100250-0,Trouble concentrating,09-06-2025
100251-8,Reminders of adverse event caused physical reactions,09-06-2025
100252-6,Had dreams about adverse event,09-06-2025
100253-4,Felt watchful and on-guard,09-06-2025
100254-2,Tried not to talk about adverse event,09-06-2025
10025-5,R' wave duration in lead I,09-06-2025
100255-9,Total score [Impact of Event Scale-Revised],09-06-2025
100256-7,Fallen in last 6 months,09-06-2025
100257-5,Feel unsteady when standing or walking,09-06-2025
100258-3,History of fall related injury,09-06-2025
100259-1,Aware of tactile sensations,09-06-2025
100260-9,Easy to describe thoughts AndOr feelings,09-06-2025
100261-7,Critical of own thoughts AndOr feelings,09-06-2025
100262-5,Able to notice distressing thoughts AndOr feelings without having to react,09-06-2025
10026-3,R' wave duration in lead II,09-06-2025
100263-3,Easily distracted,09-06-2025
100264-1,Able to notice thoughts AndOr feelings without being overwhelmed,09-06-2025
100265-8,Aware of dietary intake impact on self,09-06-2025
100266-6,Difficult to describe thoughts AndOr feelings,09-06-2025
100267-4,Aware of auditory stimuli,09-06-2025
100268-2,Able to avoid immediate reaction in difficult situations,09-06-2025
100269-0,Do things without paying attention,09-06-2025
100270-8,Recover quickly from distressing thoughts AndOr images,09-06-2025
10027-1,R' wave duration in lead III,09-06-2025
100271-6,Aware of olfactory stimuli,09-06-2025
100272-4,Aware of visual stimuli,09-06-2025
100273-2,Aware of emotions affect on thoughts AndOr behavior,09-06-2025
100274-0,Observing score [FFMQ],09-06-2025
100275-7,Describing score [FFMQ],09-06-2025
100276-5,Acting with awareness score [FFMQ],09-06-2025
100277-3,Nonjudging score [FFMQ],09-06-2025
100278-1,Nonreactivity score [FFMQ],09-06-2025
100279-9,Total score [FFMQ],09-06-2025
100280-7,Five Facet Mindfulness Questionnaire panel [FFMQ],09-06-2025
100281-5,D Ab [Units/volume] in Serum or Plasma,09-06-2025
100282-3,Vaccine exemption certificate,09-06-2025
100283-1,Harris Hip Score panel [Harris Hip Score],09-06-2025
100284-9,Walking - functional ability,09-06-2025
100285-6,Comfortable seated position,09-06-2025
100286-4,Able to board public transportation,09-06-2025
100287-2,Put on shoes and socks,09-06-2025
100288-0,Absence of deformity score [Harris Hip Score],09-06-2025
10028-9,R' wave duration in lead V1,09-06-2025
100289-8,Absence of hip deformity measurements,09-06-2025
100290-6,Range of motion score [Harris Hip Score],09-06-2025
100291-4,Total score [Harris Hip Score],09-06-2025
100292-2,Pre-op patient satisfaction score [Knee Society Score],09-06-2025
100293-0,Hip Flexion range of motion,09-06-2025
100294-8,Hip Abduction range of motion,09-06-2025
100295-5,Hip Adduction range of motion,09-06-2025
100296-3,Hip External rotation range of motion,09-06-2025
10029-7,R' wave duration in lead V2,09-06-2025
100297-1,Hip Internal rotation range of motion,09-06-2025
100298-9,Repetition count,09-06-2025
100299-7,Post-op patient satisfaction score [Knee Society Score],09-06-2025
100300-3,End time Unspecified body region,09-06-2025
100301-1,Start time Unspecified body region,09-06-2025
100302-9,Time period start and end panel Unspecified body region,09-06-2025
100303-7,Condition certainty of presence,09-06-2025
100304-5,Flights climbed [#] Reporting Period,09-06-2025
10030-5,R' wave duration in lead V3,09-06-2025
100305-2,IDH1 gene exon 4 targeted mutation analysis [Presence] in Blood or Marrow by Molecular genetics method,09-06-2025
100306-0,IDH2 gene exon 4 targeted mutation analysis [Presence] in Blood or Marrow by Molecular genetics method,09-06-2025
100307-8,Behavioral screening elder mistreatment,09-06-2025
100308-6,Need help getting to essential places,09-06-2025
100309-4,Activity support person,09-06-2025
100310-2,Reliability of support person,09-06-2025
100311-0,"Need help to make sure there is enough food, medicines or any other things needed in house",09-06-2025
100312-8,"Person or persons that makes sure there is enough food, medicines or any other things needed in house",09-06-2025
10031-3,R' wave duration in lead V4,09-06-2025
100313-6,"Need help with household things such as cook meals, help feed, or provide correct medicines each day",09-06-2025
100314-4,Need help with house cleaning or yard work,09-06-2025
100315-1,"Need help getting out of bed, showered, or dressed",09-06-2025
100316-9,Need help to make sure bills get paid,09-06-2025
100317-7,Relationship of usual support person for daily activities,09-06-2025
100318-5,Have help with finances AndOr financial decisions,09-06-2025
100319-3,Relationship of financial support person,09-06-2025
100320-1,Financial support person usually asks for permission before making decisions,09-06-2025
10032-1,R' wave duration in lead V5,09-06-2025
100321-9,Financial support person usually makes good decisions about finances,09-06-2025
100322-7,Have access to paperwork for financial decisions made,09-06-2025
100323-5,Financial support person forged signature,09-06-2025
100324-3,Coercion of financial support person for signing a document in order to get money or possessions,09-06-2025
100325-0,Experienced theft by support person,09-06-2025
100326-8,Money spent or property sold without permission,09-06-2025
100327-6,Stranger forged signature for financial gain,09-06-2025
100328-4,Stranger forced document signature for financial gain,09-06-2025
100329-2,Feared for safety due to verbal attack,09-06-2025
1003-3,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,09-06-2025
100330-0,Felt humiliated due to ridicule,09-06-2025
100331-8,Coerced to do something,09-06-2025
100332-6,Ignored by close friend or relative for extended period,09-06-2025
100333-4,Physically hit or threatened,09-06-2025
100334-2,Been physically hurt with some degree of injury,09-06-2025
100335-9,Coerced sexual activity,09-06-2025
100336-7,Coerced touching of private body parts of self or others,09-06-2025
100337-5,Coerced to undress or expose private body area,09-06-2025
100338-3,Photographed in any degree of nudity without consent,09-06-2025
10033-9,R' wave duration in lead V6,09-06-2025
100339-1,Experienced attempted physical restraint,09-06-2025
100340-9,Range of motion panel Hip,09-06-2025
100341-7,Rubella virus IgG Ab index [Units/volume] in Serum and CSF,09-06-2025
100342-5,Volatile Organic Compounds associated with SARS-CoV-2 infection [Presence] in Exhaled gas by Gas chromatography-mass spectrometry,09-06-2025
100343-3,Influenza virus B RNA [Presence] in Saliva (oral fluid) by NAA with probe detection,09-06-2025
100344-1,Influenza virus A RNA [Presence] in Saliva (oral fluid) by NAA with probe detection,09-06-2025
100345-8,Influenza virus A and B and SARS-CoV-2 (COVID-19) RNA panel - Specimen by NAA with probe detection,09-06-2025
100346-6,Clotting time.extrinsic coagulation system activated.platelets inhibited of Blood by Rotational TEG,09-06-2025
10034-7,S wave amplitude in lead AVF,09-06-2025
100347-4,Clot formation.extrinsic coagulation system activated.platelets inhibited [Time] in Blood by Rotational TEG,09-06-2025
100348-2,Model for end-stage liver disease sodium score,09-06-2025
100349-0,US.doppler Penis vessels W vasodilator IV,09-06-2025
100350-8,Sesamum indicum 1 IgE Ab [Units/volume] in Serum,09-06-2025
100351-6,Pioglitazone [Presence] in Serum or Plasma,09-06-2025
100352-4,Rosiglitazone [Presence] in Serum or Plasma,09-06-2025
100353-2,Norwalk Community Health Center Screening Tool [NCHC],09-06-2025
10035-4,S wave amplitude in lead AVL,09-06-2025
100354-0,Frequency of participating in multi-modal communication without assistance,09-06-2025
100355-7,Frequency of participating in spoken language expression communication without assistance,09-06-2025
100356-5,Chlamydia trachomatis and Neisseria gonorrhoeae and Trichomonas vaginalis DNA [Identifier] in Specimen by NAA with probe detection,09-06-2025
100357-3,Naloxone [Presence] in Cord tissue by Screen method,09-06-2025
100358-1,Phentermine [Presence] in Cord tissue by Screen method,09-06-2025
100359-9,Gliadin 33 mer peptide [Mass/volume] in Stool by Immunoassay,09-06-2025
100360-7,Brief Resilience Scale panel [BRS],09-06-2025
100361-5,Quickly recover from bad events,09-06-2025
10036-2,S wave amplitude in lead AVR,09-06-2025
100362-3,Difficulty making it through stressful events,09-06-2025
100363-1,Easily recover from a stressful event,09-06-2025
100364-9,Difficulty recovering from bad events,09-06-2025
100365-6,Easily recover from difficulties,09-06-2025
100366-4,Lengthy recovery from setbacks,09-06-2025
100367-2,Total Score BRS,09-06-2025
100368-0,Amino Acids Urea Cycle Panel - Serum or Plasma by LC/MS/MS,09-06-2025
100369-8,NM Thyroid gland Views W Tl-201 IV,09-06-2025
10037-0,S wave amplitude in lead I,09-06-2025
100370-6,Orthopoxvirus DNA [Identifier] in Specimen by NAA with probe detection,09-06-2025
100371-4,Titin Ab [Units/volume] in Serum by Immunoassay,09-06-2025
100372-2,Abiraterone [Mass/volume] in Serum or Plasma,09-06-2025
100373-0,Eucheuma IgG Ab [Units/volume] in Serum,09-06-2025
100374-8,Aloe vera IgG Ab [Units/volume] in Serum,09-06-2025
100375-5,Anise IgG Ab [Units/volume] in Serum,09-06-2025
100376-3,Bamboo sprouts IgG Ab [Units/volume] in Serum,09-06-2025
100377-1,Goat cheese IgG Ab [Units/volume] in Serum,09-06-2025
100378-9,Sheep cheese IgG Ab [Units/volume] in Serum,09-06-2025
100379-7,Leeks IgG Ab [Units/volume] in Serum,09-06-2025
100380-5,Red cabbage IgG Ab [Units/volume] in Serum,09-06-2025
100381-3,Peppermint IgG Ab [Units/volume] in Serum,09-06-2025
100382-1,FDA package insert REMS addressed risk,09-06-2025
100383-9,Monkeypox virus DNA [Presence] in Specimen by NAA with probe detection,09-06-2025
100384-7,Turnip IgG Ab [Units/volume] in Serum,09-06-2025
100385-4,Corn salad IgG Ab [Units/volume] in Serum,09-06-2025
100386-2,Rosemary IgG Ab [Units/volume] in Serum,09-06-2025
100387-0,Poppy Seed IgG Ab [Units/volume] in Serum,09-06-2025
10038-8,S wave amplitude in lead II,09-06-2025
100388-8,Cocoa IgG Ab [Units/volume] in Serum,09-06-2025
100389-6,Pistachio IgG Ab [Units/volume] in Serum,09-06-2025
100390-4,Sunflower Seed IgG Ab [Units/volume] in Serum,09-06-2025
100391-2,Dates IgG Ab [Units/volume] in Serum,09-06-2025
